CueShowTime,ObjShowTime,ReactionTime,Location,Scaling,StimType,Guess,Correct
1723003289434,1723003290574,1723003291093,0.5m,8,word3,word1,False
1723003291607,1723003292610,1723003293101,8m,8,word1,word2,False
1723003293613,1723003294785,1723003295360,1m,8,word3,word3,True
1723003295867,1723003297391,1723003297923,0.5m,8,word3,word3,True
1723003298428,1723003299203,1723003299881,4m,8,word2,word2,True
1723003300394,1723003301789,1723003302412,4m,8,word1,word1,True
1723003302926,1723003303969,1723003304579,8m,8,word3,word3,True
1723003305086,1723003305845,1723003306513,8m,8,word1,word1,True
1723003307017,1723003308319,1723003308755,8m,8,word1,word1,True
1723003309267,1723003310398,1723003311011,1m,8,word2,word2,True
1723003311512,1723003312963,1723003313374,2m,8,word2,word2,True
1723003313886,1723003314620,1723003315243,2m,8,word1,word1,True
1723003315754,1723003316686,1723003317436,8m,8,word1,word1,True
1723003317947,1723003319488,1723003320110,8m,8,word2,word2,True
1723003320611,1723003321528,1723003322078,2m,8,word3,word3,True
1723003322579,1723003324203,1723003324913,0.5m,8,word2,word2,True
1723003325414,1723003327030,1723003327456,4m,8,word1,word1,True
1723003327957,1723003328735,1723003329288,2m,8,word2,word2,True
1723003329801,1723003331466,1723003332017,4m,8,word1,word1,True
1723003332523,1723003333329,1723003334132,1m,8,word3,word3,True
1723003334642,1723003335797,1723003336278,4m,8,word3,word3,True
1723003336787,1723003337746,1723003338368,0.5m,8,word2,word2,True
1723003338869,1723003339692,1723003340228,0.5m,8,word1,word1,True
1723003340740,1723003342392,1723003343113,0.5m,8,word3,word3,True
1723003343621,1723003344397,1723003344930,2m,8,word3,word3,True
