CueShowTime,ObjShowTime,ReactionTime,Location,Scaling,StimType,Guess,Correct
1723066519793,1723066521275,1723066521866,2m,8,word3,word3,True
1723066522380,1723066524007,1723066524997,1m,8,word3,word3,True
1723066525510,1723066526717,1723066527233,1m,8,word2,word2,True
1723066527734,1723066528471,1723066529183,4m,8,word1,word1,True
1723066529685,1723066530791,1723066532642,8m,8,word3,word3,True
1723066533147,1723066534741,1723066535175,1m,8,word3,word3,True
1723066535690,1723066536594,1723066537042,0.5m,8,word3,word3,True
1723066537555,1723066539012,1723066539526,1m,8,word3,word3,True
1723066540038,1723066540971,1723066541406,4m,8,word1,word2,False
1723066541918,1723066542729,1723066543308,1m,8,word2,word2,True
1723066543809,1723066545520,1723066546126,8m,8,word2,word2,True
1723066546628,1723066547824,1723066548337,2m,8,word1,word1,True
1723066548850,1723066550519,1723066551098,4m,8,word2,word2,True
1723066551612,1723066553147,1723066553632,0.5m,8,word2,word2,True
1723066554136,1723066554868,1723066555433,2m,8,word3,word3,True
1723066555947,1723066557652,1723066558180,0.5m,8,word2,word2,True
1723066558690,1723066560134,1723066560688,0.5m,8,word1,word1,True
1723066561201,1723066562790,1723066563224,0.5m,8,word2,word2,True
1723066563738,1723066565449,1723066565978,0.5m,8,word1,word1,True
1723066566481,1723066568079,1723066568530,0.5m,8,word2,word2,True
1723066569041,1723066570712,1723066571225,4m,8,word1,word1,True
1723066571727,1723066573271,1723066573762,1m,8,word3,word3,True
1723066574264,1723066575795,1723066576270,0.5m,8,word2,word2,True
1723066576781,1723066577846,1723066578320,8m,8,word3,word3,True
1723066578832,1723066579950,1723066580373,8m,8,word1,word1,True
