CueShowTime,ObjShowTime,ReactionTime,Location,Scaling,StimType,Guess,Correct
1723066365319,1723066366538,1723066367195,2m,4,face3,face3,True
1723066367706,1723066368754,1723066369453,1m,8,face2,face2,True
1723066369965,1723066371447,1723066372011,2m,4,face2,face2,True
1723066372513,1723066373746,1723066374408,0.5m,16,face2,face2,True
1723066374921,1723066376026,1723066376682,2m,4,face3,face3,True
1723066377194,1723066378770,1723066379532,4m,2,face2,face2,True
1723066380045,1723066381488,1723066382238,2m,4,face1,face1,True
1723066382751,1723066384062,1723066384562,1m,8,face2,face2,True
1723066385076,1723066386165,1723066386916,4m,2,face2,face2,True
1723066387428,1723066388546,1723066389217,4m,2,face2,face2,True
1723066389727,1723066390805,1723066391402,0.5m,16,face2,face2,True
1723066391914,1723066392807,1723066393334,8m,1,face2,face2,True
1723066393846,1723066395105,1723066395631,2m,4,face2,face2,True
1723066396143,1723066397785,1723066398784,8m,1,face1,face1,True
1723066399285,1723066400847,1723066401491,2m,4,face2,face2,True
1723066402003,1723066403263,1723066405103,8m,1,face1,face1,True
1723066405614,1723066406507,1723066407307,2m,4,face1,face3,False
1723066407820,1723066408581,1723066409437,8m,1,face2,face2,True
1723066409948,1723066410997,1723066411694,4m,2,face1,face1,True
1723066412205,1723066413847,1723066414555,8m,1,face2,face2,True
1723066415069,1723066415816,1723066416671,8m,1,face3,face3,True
1723066417184,1723066418197,1723066418948,1m,8,face1,face1,True
1723066419461,1723066420604,1723066421386,0.5m,16,face3,face3,True
1723066421887,1723066423476,1723066424082,1m,8,face1,face1,True
1723066424594,1723066425431,1723066426076,1m,8,face3,face3,True
