CueShowTime,ObjShowTime,ReactionTime,Location,Scaling,StimType,Guess,Correct
1723003109025,1723003109868,1723003110703,0.5m,16,face3,face3,True
1723003111213,1723003112922,1723003113507,1m,8,face2,face2,True
1723003114023,1723003115713,1723003118012,8m,1,face1,face1,True
1723003118523,1723003120085,1723003120927,8m,1,face2,face2,True
1723003121435,1723003122902,1723003124193,2m,4,face3,face3,True
1723003124708,1723003125795,1723003126542,8m,1,face3,face3,True
1723003127058,1723003128439,1723003129302,4m,2,face3,face3,True
1723003129816,1723003131479,1723003132236,8m,1,face2,face2,True
1723003132747,1723003133596,1723003134373,0.5m,16,face2,face2,True
1723003134886,1723003136146,1723003136949,0.5m,16,face3,face3,True
1723003137459,1723003139139,1723003139713,0.5m,16,face2,face2,True
1723003140225,1723003141583,1723003142561,4m,2,face1,face1,True
1723003143061,1723003144374,1723003145234,8m,1,face3,face3,True
1723003145741,1723003147181,1723003148227,2m,4,face3,face3,True
1723003148733,1723003149975,1723003150720,8m,1,face2,face2,True
1723003151224,1723003152759,1723003153455,8m,1,face1,face1,True
1723003153968,1723003154849,1723003155459,1m,8,face2,face2,True
1723003155974,1723003157148,1723003157804,2m,4,face2,face2,True
1723003158306,1723003159368,1723003160350,1m,8,face1,face1,True
1723003160859,1723003161654,1723003162205,0.5m,16,face1,face1,True
1723003162714,1723003163958,1723003164840,8m,1,face3,face3,True
1723003165349,1723003166993,1723003167618,2m,4,face3,face3,True
1723003168119,1723003169376,1723003170147,8m,1,face3,face3,True
1723003170659,1723003171442,1723003172056,0.5m,16,face3,face3,True
1723003172559,1723003174176,1723003175114,4m,2,face1,face1,True
