CueShowTime,ObjShowTime,ReactionTime,Eccentricity,VerticalEccentricity,StimType,Guess,Correct
1722997674992,1722997676196,1722997676827,-15,10,CanvasP,CanvasP,True
1722997677337,1722997678452,1722997678950,-15,20,CanvasE,CanvasE,True
1722997679458,1722997680436,1722997680962,-15,-20,CanvasB,CanvasB,True
1722997681473,1722997682640,1722997683178,15,20,CanvasB,CanvasB,True
1722997683694,1722997685361,1722997685875,-30,-10,CanvasE,CanvasE,True
1722997686385,1722997687348,1722997687827,15,10,CanvasB,CanvasP,False
1722997688338,1722997689441,1722997690066,-15,-10,CanvasE,CanvasE,True
1722997690571,1722997691685,1722997692218,15,-20,CanvasB,CanvasB,True
1722997692725,1722997694163,1722997694918,30,-10,CanvasP,CanvasP,True
1722997695424,1722997696868,1722997697573,0,10,CanvasE,CanvasE,True
1722997698092,1722997698817,1722997699523,0,10,CanvasB,CanvasB,True
1722997700033,1722997700951,1722997701490,30,0,CanvasE,CanvasP,False
1722997701992,1722997703649,1722997704280,-15,-20,CanvasP,CanvasP,True
1722997704781,1722997705870,1722997706371,15,-20,CanvasP,CanvasB,False
1722997706881,1722997707613,1722997708126,-30,-10,CanvasP,CanvasP,True
1722997708638,1722997710029,1722997710613,15,-10,CanvasP,CanvasP,True
1722997711123,1722997712385,1722997712771,15,-20,CanvasP,CanvasP,True
1722997713283,1722997714584,1722997715098,30,-10,CanvasE,CanvasE,True
1722997715606,1722997717246,1722997717691,-15,20,CanvasP,CanvasB,False
1722997718203,1722997719565,1722997720125,-30,20,CanvasP,CanvasP,True
1722997720633,1722997721905,1722997722499,30,-20,CanvasB,CanvasB,True
1722997723005,1722997724291,1722997724765,0,-10,CanvasE,CanvasE,True
1722997725272,1722997726428,1722997727243,-30,-10,CanvasP,CanvasP,True
1722997727746,1722997728775,1722997729350,-15,0,CanvasB,CanvasB,True
1722997729862,1722997731038,1722997731731,15,-20,CanvasB,CanvasB,True
1722997732236,1722997733007,1722997734115,15,-10,CanvasP,CanvasP,True
1722997734624,1722997736103,1722997736681,30,10,CanvasE,CanvasE,True
1722997737182,1722997738350,1722997739037,-30,-20,CanvasB,CanvasB,True
1722997739550,1722997740670,1722997741292,-30,0,CanvasB,CanvasB,True
1722997741804,1722997743191,1722997743771,0,20,CanvasB,CanvasB,True
1722997744272,1722997745896,1722997746508,-15,10,CanvasB,CanvasB,True
1722997747017,1722997748307,1722997748990,-30,-20,CanvasP,CanvasP,True
1722997749499,1722997750271,1722997750818,0,-10,CanvasB,CanvasB,True
1722997751329,1722997752988,1722997753537,-15,10,CanvasB,CanvasB,True
1722997754039,1722997755636,1722997756204,15,20,CanvasE,CanvasE,True
1722997756714,1722997757443,1722997758160,30,20,CanvasB,CanvasE,False
1722997758671,1722997759927,1722997760385,0,20,CanvasB,CanvasB,True
1722997760894,1722997762564,1722997763135,-15,-20,CanvasE,CanvasE,True
1722997763641,1722997765274,1722997765805,15,-20,CanvasP,CanvasP,True
1722997766306,1722997767736,1722997768348,-30,-10,CanvasE,CanvasE,True
1722997768862,1722997769850,1722997770395,15,-10,CanvasP,CanvasP,True
1722997770905,1722997772183,1722997772667,15,20,CanvasP,CanvasP,True
1722997773186,1722997774385,1722997774922,-15,20,CanvasE,CanvasE,True
1722997775425,1722997776500,1722997776999,30,-10,CanvasE,CanvasE,True
1722997777519,1722997778649,1722997779195,-15,-10,CanvasP,CanvasP,True
1722997779707,1722997780553,1722997780988,15,10,CanvasP,CanvasP,True
1722997781489,1722997782983,1722997783468,15,20,CanvasP,CanvasP,True
1722997783973,1722997785160,1722997785663,-15,20,CanvasP,CanvasP,True
1722997786172,1722997787610,1722997788129,15,10,CanvasB,CanvasB,True
1722997788639,1722997790050,1722997790528,-15,10,CanvasP,CanvasP,True
