CueShowTime,ObjShowTime,ReactionTime,Eccentricity,VerticalEccentricity,StimType,Guess,Correct
1722997907023,1722997907915,1722997908718,0,10,CanvasB,CanvasB,True
1722997909230,1722997910115,1722997910678,30,-20,CanvasE,CanvasB,False
1722997911190,1722997912567,1722997912799,15,-10,CanvasP,CanvasB,False
1722997913308,1722997914928,1722997915251,15,0,CanvasB,CanvasB,True
1722997915760,1722997916684,1722997917073,0,-10,CanvasE,CanvasB,False
