cpuID,file,Trials
DESKTOP-BNVQNRU,7b616abe3b1975b7945ac51bb461532b8e4fd2d5,Mingda1-rtData-2024-08-06-19-38-50.csv,50
DESKTOP-BNVQNRU,7b616abe3b1975b7945ac51bb461532b8e4fd2d5,Mingda2-rtData-2024-08-06-19-42-34.csv,1
DESKTOP-BNVQNRU,7b616abe3b1975b7945ac51bb461532b8e4fd2d5,Mingda2-rtData-2024-08-06-19-43-50.csv,1
DESKTOP-BNVQNRU,7b616abe3b1975b7945ac51bb461532b8e4fd2d5,Mingda-6deg-rtData-2024-08-06-20-06-45.csv,15
DESKTOP-BNVQNRU,7b616abe3b1975b7945ac51bb461532b8e4fd2d5,,0
DESKTOP-BNVQNRU,7b616abe3b1975b7945ac51bb461532b8e4fd2d5,,0
DESKTOP-BNVQNRU,7b616abe3b1975b7945ac51bb461532b8e4fd2d5,-6deg-rtData-2024-08-06-20-09-10.csv,1
